Dataset,Model,Class,Class_Type,Count,Precision_%,Recall_%,F1_Score_%
KDDTest+,RANDOMFOREST,apache2,Attack,737,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,back,Attack,359,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,imap,Attack,1,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,land,Attack,7,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,mscan,Attack,996,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,multihop,Attack,18,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,named,Attack,17,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,neptune,Attack,4657,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,nmap,Attack,73,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,normal,Normal,9711,65.33,97.25,78.16
KDDTest+,RANDOMFOREST,perl,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,phf,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,pod,Attack,41,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,portsweep,Attack,157,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,processtable,Attack,685,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,ps,Attack,15,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,rootkit,Attack,13,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,saint,Attack,319,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,satan,Attack,735,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,sendmail,Attack,14,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,smurf,Attack,665,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,teardrop,Attack,12,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,worm,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,xlock,Attack,9,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,xterm,Attack,13,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,apache2,Attack,737,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,back,Attack,359,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,imap,Attack,1,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,land,Attack,7,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,mscan,Attack,996,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,multihop,Attack,18,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,named,Attack,17,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,neptune,Attack,1579,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,nmap,Attack,73,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,normal,Normal,2152,27.33,87.59,41.66
KDDTest-21,RANDOMFOREST,perl,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,phf,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,pod,Attack,41,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,portsweep,Attack,156,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,processtable,Attack,685,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,ps,Attack,15,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,rootkit,Attack,13,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,saint,Attack,309,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,satan,Attack,727,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,sendmail,Attack,14,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,smurf,Attack,627,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,teardrop,Attack,12,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,worm,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,xlock,Attack,9,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,xterm,Attack,13,0.0,0.0,0.0
KDDTest+,SVM,apache2,Attack,737,0.0,0.0,0.0
KDDTest+,SVM,back,Attack,359,0.0,0.0,0.0
KDDTest+,SVM,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest+,SVM,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest+,SVM,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest+,SVM,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest+,SVM,imap,Attack,1,0.0,0.0,0.0
KDDTest+,SVM,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest+,SVM,land,Attack,7,0.0,0.0,0.0
KDDTest+,SVM,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest+,SVM,mscan,Attack,996,0.0,0.0,0.0
KDDTest+,SVM,multihop,Attack,18,0.0,0.0,0.0
KDDTest+,SVM,named,Attack,17,0.0,0.0,0.0
KDDTest+,SVM,neptune,Attack,4657,0.0,0.0,0.0
KDDTest+,SVM,nmap,Attack,73,0.0,0.0,0.0
KDDTest+,SVM,normal,Normal,9711,65.94,91.98,76.81
KDDTest+,SVM,perl,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,phf,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,pod,Attack,41,0.0,0.0,0.0
KDDTest+,SVM,portsweep,Attack,157,0.0,0.0,0.0
KDDTest+,SVM,processtable,Attack,685,0.0,0.0,0.0
KDDTest+,SVM,ps,Attack,15,0.0,0.0,0.0
KDDTest+,SVM,rootkit,Attack,13,0.0,0.0,0.0
KDDTest+,SVM,saint,Attack,319,0.0,0.0,0.0
KDDTest+,SVM,satan,Attack,735,0.0,0.0,0.0
KDDTest+,SVM,sendmail,Attack,14,0.0,0.0,0.0
KDDTest+,SVM,smurf,Attack,665,0.0,0.0,0.0
KDDTest+,SVM,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest+,SVM,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest+,SVM,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,teardrop,Attack,12,0.0,0.0,0.0
KDDTest+,SVM,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest+,SVM,worm,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,xlock,Attack,9,0.0,0.0,0.0
KDDTest+,SVM,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest+,SVM,xterm,Attack,13,0.0,0.0,0.0
KDDTest-21,SVM,apache2,Attack,737,0.0,0.0,0.0
KDDTest-21,SVM,back,Attack,359,0.0,0.0,0.0
KDDTest-21,SVM,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest-21,SVM,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest-21,SVM,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest-21,SVM,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest-21,SVM,imap,Attack,1,0.0,0.0,0.0
KDDTest-21,SVM,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest-21,SVM,land,Attack,7,0.0,0.0,0.0
KDDTest-21,SVM,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest-21,SVM,mscan,Attack,996,0.0,0.0,0.0
KDDTest-21,SVM,multihop,Attack,18,0.0,0.0,0.0
KDDTest-21,SVM,named,Attack,17,0.0,0.0,0.0
KDDTest-21,SVM,neptune,Attack,1579,0.0,0.0,0.0
KDDTest-21,SVM,nmap,Attack,73,0.0,0.0,0.0
KDDTest-21,SVM,normal,Normal,2152,23.35,65.29,34.39
KDDTest-21,SVM,perl,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,phf,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,pod,Attack,41,0.0,0.0,0.0
KDDTest-21,SVM,portsweep,Attack,156,0.0,0.0,0.0
KDDTest-21,SVM,processtable,Attack,685,0.0,0.0,0.0
KDDTest-21,SVM,ps,Attack,15,0.0,0.0,0.0
KDDTest-21,SVM,rootkit,Attack,13,0.0,0.0,0.0
KDDTest-21,SVM,saint,Attack,309,0.0,0.0,0.0
KDDTest-21,SVM,satan,Attack,727,0.0,0.0,0.0
KDDTest-21,SVM,sendmail,Attack,14,0.0,0.0,0.0
KDDTest-21,SVM,smurf,Attack,627,0.0,0.0,0.0
KDDTest-21,SVM,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest-21,SVM,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest-21,SVM,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,teardrop,Attack,12,0.0,0.0,0.0
KDDTest-21,SVM,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest-21,SVM,worm,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,xlock,Attack,9,0.0,0.0,0.0
KDDTest-21,SVM,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest-21,SVM,xterm,Attack,13,0.0,0.0,0.0
KDDTest+,XGBOOST,apache2,Attack,737,0.0,0.0,0.0
KDDTest+,XGBOOST,back,Attack,359,0.0,0.0,0.0
KDDTest+,XGBOOST,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest+,XGBOOST,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest+,XGBOOST,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest+,XGBOOST,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest+,XGBOOST,imap,Attack,1,0.0,0.0,0.0
KDDTest+,XGBOOST,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest+,XGBOOST,land,Attack,7,0.0,0.0,0.0
KDDTest+,XGBOOST,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest+,XGBOOST,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest+,XGBOOST,mscan,Attack,996,0.0,0.0,0.0
KDDTest+,XGBOOST,multihop,Attack,18,0.0,0.0,0.0
KDDTest+,XGBOOST,named,Attack,17,0.0,0.0,0.0
KDDTest+,XGBOOST,neptune,Attack,4657,0.0,0.0,0.0
KDDTest+,XGBOOST,nmap,Attack,73,0.0,0.0,0.0
KDDTest+,XGBOOST,normal,Normal,9711,70.68,97.11,81.82
KDDTest+,XGBOOST,perl,Attack,2,0.0,0.0,0.0
KDDTest+,XGBOOST,phf,Attack,2,0.0,0.0,0.0
KDDTest+,XGBOOST,pod,Attack,41,0.0,0.0,0.0
KDDTest+,XGBOOST,portsweep,Attack,157,0.0,0.0,0.0
KDDTest+,XGBOOST,processtable,Attack,685,0.0,0.0,0.0
KDDTest+,XGBOOST,ps,Attack,15,0.0,0.0,0.0
KDDTest+,XGBOOST,rootkit,Attack,13,0.0,0.0,0.0
KDDTest+,XGBOOST,saint,Attack,319,0.0,0.0,0.0
KDDTest+,XGBOOST,satan,Attack,735,0.0,0.0,0.0
KDDTest+,XGBOOST,sendmail,Attack,14,0.0,0.0,0.0
KDDTest+,XGBOOST,smurf,Attack,665,0.0,0.0,0.0
KDDTest+,XGBOOST,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest+,XGBOOST,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest+,XGBOOST,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest+,XGBOOST,teardrop,Attack,12,0.0,0.0,0.0
KDDTest+,XGBOOST,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest+,XGBOOST,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest+,XGBOOST,worm,Attack,2,0.0,0.0,0.0
KDDTest+,XGBOOST,xlock,Attack,9,0.0,0.0,0.0
KDDTest+,XGBOOST,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest+,XGBOOST,xterm,Attack,13,0.0,0.0,0.0
KDDTest-21,XGBOOST,apache2,Attack,737,0.0,0.0,0.0
KDDTest-21,XGBOOST,back,Attack,359,0.0,0.0,0.0
KDDTest-21,XGBOOST,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest-21,XGBOOST,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest-21,XGBOOST,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest-21,XGBOOST,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest-21,XGBOOST,imap,Attack,1,0.0,0.0,0.0
KDDTest-21,XGBOOST,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest-21,XGBOOST,land,Attack,7,0.0,0.0,0.0
KDDTest-21,XGBOOST,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest-21,XGBOOST,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest-21,XGBOOST,mscan,Attack,996,0.0,0.0,0.0
KDDTest-21,XGBOOST,multihop,Attack,18,0.0,0.0,0.0
KDDTest-21,XGBOOST,named,Attack,17,0.0,0.0,0.0
KDDTest-21,XGBOOST,neptune,Attack,1579,0.0,0.0,0.0
KDDTest-21,XGBOOST,nmap,Attack,73,0.0,0.0,0.0
KDDTest-21,XGBOOST,normal,Normal,2152,32.38,87.04,47.2
KDDTest-21,XGBOOST,perl,Attack,2,0.0,0.0,0.0
KDDTest-21,XGBOOST,phf,Attack,2,0.0,0.0,0.0
KDDTest-21,XGBOOST,pod,Attack,41,0.0,0.0,0.0
KDDTest-21,XGBOOST,portsweep,Attack,156,0.0,0.0,0.0
KDDTest-21,XGBOOST,processtable,Attack,685,0.0,0.0,0.0
KDDTest-21,XGBOOST,ps,Attack,15,0.0,0.0,0.0
KDDTest-21,XGBOOST,rootkit,Attack,13,0.0,0.0,0.0
KDDTest-21,XGBOOST,saint,Attack,309,0.0,0.0,0.0
KDDTest-21,XGBOOST,satan,Attack,727,0.0,0.0,0.0
KDDTest-21,XGBOOST,sendmail,Attack,14,0.0,0.0,0.0
KDDTest-21,XGBOOST,smurf,Attack,627,0.0,0.0,0.0
KDDTest-21,XGBOOST,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest-21,XGBOOST,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest-21,XGBOOST,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest-21,XGBOOST,teardrop,Attack,12,0.0,0.0,0.0
KDDTest-21,XGBOOST,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest-21,XGBOOST,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest-21,XGBOOST,worm,Attack,2,0.0,0.0,0.0
KDDTest-21,XGBOOST,xlock,Attack,9,0.0,0.0,0.0
KDDTest-21,XGBOOST,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest-21,XGBOOST,xterm,Attack,13,0.0,0.0,0.0
